w-full src,font-bold,text-sm,mx-2,hidden,text-sm href,text-sm (2),text-sm (3),text-red-500,text-lg
https://media-cdn.factba.se/realdonaldtrump-twitter/695133644562628608.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 1:35 AM ET",https://x.com/realdonaldtrump/status/695133644562628608,View on X,#ICYMI: @KarlRove & @oreillyfactor discuss what Ted Cruz did to the great people of Iowa- as they went to vote. https://youtu.be/ocgEmgXXwF8,,
https://media-cdn.factba.se/realdonaldtrump-twitter/695133044940759040.jpg,Donald Trump,@realDonaldTrump,•,"February 4, 2016 @ 1:33 AM ET",https://x.com/realdonaldtrump/status/695133044940759040,View on X,"Thank you @billoreilly & @KarlRove. Ted Cruz should be immediately disqualified in Iowa, with each candidate moving up one notch.",,
https://media-cdn.factba.se/realdonaldtrump-twitter/695009587271827456.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 10:22 PM ET",https://media-cdn.factba.se/realdonaldtrump-twitter/695009587271827456.jpg,View Image,RT @DarrenJJordan: CONSTRUCTIVE WINS! ? @realDonaldTrump @CLewandowski_ @DanScavino @MichaelCohen212 @KatrinaPierson @DefendingtheUSA http…,• Deleted,
https://media-cdn.factba.se/realdonaldtrump-twitter/695082204100071424.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 10:11 PM ET",https://x.com/realdonaldtrump/status/695082204100071424,View on X,Sanders says he wants to run against me because he doesn't want to run against me. He would be so easy to beat!,,
https://media-cdn.factba.se/realdonaldtrump-twitter/695072233610280960.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 9:31 PM ET",https://x.com/realdonaldtrump/status/695072233610280960,View on X,"THANK YOU to everyone in Little Rock, Arkansas tonight! A record crowd of 12K. #Trump2016
 https://www.facebook.com/DonaldTrump/posts/10156603612740725:0 … pic.twitter.com/I9WkPN3pWm",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694996040349540354.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 4:29 PM ET",https://x.com/realdonaldtrump/status/694996040349540354,View on X,"Stop the assault on American values. Stand w/ Trump to #MakeAmericaGreatAgain!
#VotersSpeak: https://www.facebook.com/DonaldTrump/videos/10156602612915725/ … pic.twitter.com/c7EHokbLD1",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694984862122561536.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 3:44 PM ET",https://x.com/realdonaldtrump/status/694984862122561536,View on X,Thank you New Hampshire! #MakeAmericaGreatAgain #FITN pic.twitter.com/4EFJbQxJGW,,
https://media-cdn.factba.se/realdonaldtrump-twitter/694984821093830656.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 3:44 PM ET",https://x.com/realdonaldtrump/status/694984821093830656,View on X,"Dr. Ben Carson blasted Ted Cruz for ""deceit and dirty tricks and lies.""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694979360441384960.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 3:22 PM ET",https://x.com/realdonaldtrump/status/694979360441384960,View on X,"Cruz just lied again- I am, and have been totally against #ObamaCare- repeal and replace!",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694964856609439745.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 2:25 PM ET",https://x.com/realdonaldtrump/status/694964856609439745,View on X,The State of Iowa should disqualify Ted Cruz from the most recent election on the basis that he cheated- a total fraud!,,
